gender,senior_citizen,partner,dependents,tenure,contract_type,payment_method,paperless_billing,internet_service,online_security,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,churn,gender_label,contract_label,payment_label,internet_label,churn_label
1,0,1,0,12,0,0,1,1,0,1,1,1,76.9,917.88,0,Male,Month-to-month,Electronic check,DSL,No
1,0,1,0,43,0,2,1,2,0,0,1,0,78.54,3461.64,0,Male,Month-to-month,Bank transfer (automatic),Fiber optic,No
1,0,0,0,4,1,0,0,0,0,0,0,0,21.48,85.89,1,Male,One year,Electronic check,No,Yes
1,0,1,0,19,0,3,1,2,0,0,1,1,93.46,1843.16,1,Male,Month-to-month,Credit card (automatic),Fiber optic,Yes
1,0,1,0,30,1,2,1,0,0,0,0,0,20.0,614.98,0,Male,One year,Bank transfer (automatic),No,No
1,1,1,0,56,1,2,1,1,1,0,1,1,70.92,3806.88,0,Male,One year,Bank transfer (automatic),DSL,No
1,0,1,0,51,1,1,0,0,0,0,0,0,20.0,1045.72,0,Male,One year,Mailed check,No,No
1,1,0,0,17,1,0,0,0,0,0,0,0,24.66,409.44,0,Male,One year,Electronic check,No,No
0,0,0,0,24,0,0,1,0,0,0,0,0,20.0,493.11,1,Female,Month-to-month,Electronic check,No,Yes
0,0,0,0,12,1,2,0,1,1,1,1,0,80.32,1007.07,0,Female,One year,Bank transfer (automatic),DSL,No
1,0,0,0,15,2,3,1,1,1,1,0,0,71.93,1125.36,0,Male,Two year,Credit card (automatic),DSL,No
1,0,0,0,56,1,1,1,2,1,0,1,1,100.04,5392.16,0,Male,One year,Mailed check,Fiber optic,No
1,0,1,0,64,1,3,1,1,1,0,1,0,64.78,3961.29,0,Male,One year,Credit card (automatic),DSL,No
0,0,1,0,54,1,0,1,0,0,0,0,0,24.94,1384.06,0,Female,One year,Electronic check,No,No
1,0,1,0,3,0,3,1,2,0,1,0,1,98.16,300.66,1,Male,Month-to-month,Credit card (automatic),Fiber optic,Yes
0,0,0,1,45,1,1,0,2,1,0,0,0,76.78,3343.21,1,Female,One year,Mailed check,Fiber optic,Yes
0,0,0,0,71,2,1,1,1,0,1,1,1,70.89,5126.09,0,Female,Two year,Mailed check,DSL,No
0,0,0,0,10,0,1,1,2,0,0,1,0,88.27,839.93,1,Female,Month-to-month,Mailed check,Fiber optic,Yes
0,0,0,0,17,2,2,1,2,0,1,1,0,94.92,1634.8,0,Female,Two year,Bank transfer (automatic),Fiber optic,No
0,0,0,0,36,0,2,0,1,1,0,1,1,81.0,3012.9,0,Female,Month-to-month,Bank transfer (automatic),DSL,No
1,1,1,1,19,0,1,0,1,0,1,1,1,83.58,1610.54,0,Male,Month-to-month,Mailed check,DSL,No
1,0,1,0,72,2,1,0,0,0,0,0,0,20.0,1377.42,0,Male,Two year,Mailed check,No,No
1,0,0,0,14,2,0,1,0,0,0,0,0,21.96,322.53,0,Male,Two year,Electronic check,No,No
1,0,0,0,30,2,0,0,2,1,1,1,0,100.57,2973.68,0,Male,Two year,Electronic check,Fiber optic,No
1,0,1,0,37,2,0,1,1,1,0,1,0,70.01,2559.41,0,Male,Two year,Electronic check,DSL,No
0,0,0,0,16,0,2,1,1,0,1,1,0,71.0,1088.83,0,Female,Month-to-month,Bank transfer (automatic),DSL,No
1,0,1,0,46,1,2,0,2,0,0,1,0,86.88,3863.44,0,Male,One year,Bank transfer (automatic),Fiber optic,No
1,0,1,1,18,0,2,1,2,0,0,0,1,84.99,1494.81,1,Male,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
0,0,1,0,12,0,2,0,2,0,0,0,0,71.25,880.58,1,Female,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
1,0,0,0,2,0,0,1,2,1,1,0,0,91.42,186.35,1,Male,Month-to-month,Electronic check,Fiber optic,Yes
0,0,1,0,11,1,2,0,2,1,1,1,1,115.83,1284.79,0,Female,One year,Bank transfer (automatic),Fiber optic,No
1,1,0,0,31,0,0,0,2,0,0,0,1,78.88,2534.26,1,Male,Month-to-month,Electronic check,Fiber optic,Yes
0,0,1,0,61,2,2,0,0,0,0,0,0,20.0,1280.73,0,Female,Two year,Bank transfer (automatic),No,No
1,1,0,0,6,1,0,1,1,1,1,1,0,79.01,468.6,0,Male,One year,Electronic check,DSL,No
1,0,0,0,10,0,2,1,1,1,1,0,1,80.25,793.77,1,Male,Month-to-month,Bank transfer (automatic),DSL,Yes
0,0,0,0,4,1,1,1,0,0,0,0,0,20.0,81.89,1,Female,One year,Mailed check,No,Yes
0,0,1,1,28,0,1,0,1,1,1,0,1,71.62,2034.31,0,Female,Month-to-month,Mailed check,DSL,No
0,0,1,0,72,0,2,1,2,0,0,0,0,61.62,4220.75,0,Female,Month-to-month,Bank transfer (automatic),Fiber optic,No
0,0,1,1,24,2,0,0,0,0,0,0,0,20.0,487.46,0,Female,Two year,Electronic check,No,No
0,0,1,0,23,0,0,1,1,0,1,1,1,76.3,1793.44,1,Female,Month-to-month,Electronic check,DSL,Yes
0,0,0,0,19,2,2,1,2,0,0,1,0,79.77,1589.28,0,Female,Two year,Bank transfer (automatic),Fiber optic,No
0,0,1,1,2,1,3,1,2,0,1,1,1,102.59,206.96,0,Female,One year,Credit card (automatic),Fiber optic,No
0,0,0,0,31,1,1,1,2,0,1,0,1,85.97,2714.22,1,Female,One year,Mailed check,Fiber optic,Yes
1,0,1,1,22,1,0,0,2,1,1,0,0,80.94,1832.1,0,Male,One year,Electronic check,Fiber optic,No
1,0,1,1,25,0,1,0,2,1,0,1,0,92.63,2222.18,0,Male,Month-to-month,Mailed check,Fiber optic,No
0,0,0,0,54,0,2,0,2,1,0,0,1,92.63,5119.39,1,Female,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
1,0,1,0,36,0,1,0,2,0,0,1,0,85.11,3078.32,0,Male,Month-to-month,Mailed check,Fiber optic,No
1,1,0,0,36,0,3,1,2,1,0,0,0,84.08,2905.83,1,Male,Month-to-month,Credit card (automatic),Fiber optic,Yes
1,0,0,1,62,0,1,0,2,1,1,0,1,103.96,6555.02,0,Male,Month-to-month,Mailed check,Fiber optic,No
1,1,1,1,72,2,0,1,2,0,0,0,0,70.57,4946.14,0,Male,Two year,Electronic check,Fiber optic,No
0,0,0,0,20,0,0,1,1,1,1,1,0,81.38,1633.77,0,Female,Month-to-month,Electronic check,DSL,No
1,0,1,0,2,1,1,0,1,1,0,0,0,62.12,121.52,0,Male,One year,Mailed check,DSL,No
0,0,0,0,14,0,2,0,2,0,1,0,1,88.62,1191.62,0,Female,Month-to-month,Bank transfer (automatic),Fiber optic,No
1,0,0,0,37,0,0,0,2,1,0,1,1,107.85,3891.03,1,Male,Month-to-month,Electronic check,Fiber optic,Yes
1,1,1,0,1,0,3,0,2,1,0,0,0,76.88,76.41,1,Male,Month-to-month,Credit card (automatic),Fiber optic,Yes
1,0,1,0,1,1,0,1,0,0,0,0,0,21.1,21.09,0,Male,One year,Electronic check,No,No
0,0,1,0,1,0,1,1,1,1,1,0,0,70.35,67.88,0,Female,Month-to-month,Mailed check,DSL,No
1,0,1,0,31,0,0,1,1,1,1,0,0,63.63,1937.22,0,Male,Month-to-month,Electronic check,DSL,No
0,0,1,1,16,1,3,1,2,1,0,1,1,99.24,1644.91,0,Female,One year,Credit card (automatic),Fiber optic,No
1,1,0,1,11,1,2,0,2,1,0,0,0,77.7,889.78,1,Male,One year,Bank transfer (automatic),Fiber optic,Yes
0,0,0,1,2,0,0,0,1,1,1,0,0,60.23,120.88,1,Female,Month-to-month,Electronic check,DSL,Yes
1,0,0,1,31,1,3,1,2,1,1,0,1,96.63,2992.64,0,Male,One year,Credit card (automatic),Fiber optic,No
0,0,1,0,9,1,0,0,0,0,0,0,0,26.03,236.18,1,Female,One year,Electronic check,No,Yes
0,0,1,0,7,1,2,0,1,0,0,0,0,47.66,324.1,1,Female,One year,Bank transfer (automatic),DSL,Yes
1,0,0,0,25,0,3,1,1,1,0,1,1,75.4,1978.04,1,Male,Month-to-month,Credit card (automatic),DSL,Yes
0,0,1,1,19,0,2,1,2,0,0,1,0,77.08,1500.44,1,Female,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
1,0,1,1,10,0,3,1,2,1,0,1,0,87.42,851.36,1,Male,Month-to-month,Credit card (automatic),Fiber optic,Yes
1,0,0,1,24,2,3,0,1,0,1,1,0,63.4,1486.93,0,Male,Two year,Credit card (automatic),DSL,No
1,0,0,1,7,0,3,1,1,0,1,1,0,72.76,516.88,0,Male,Month-to-month,Credit card (automatic),DSL,No
1,0,1,0,38,2,0,0,2,0,0,1,0,81.45,3040.27,0,Male,Two year,Electronic check,Fiber optic,No
1,0,1,0,6,0,0,1,1,1,1,0,0,75.66,447.39,1,Male,Month-to-month,Electronic check,DSL,Yes
1,0,1,0,4,0,2,0,2,1,1,1,0,101.8,418.64,0,Male,Month-to-month,Bank transfer (automatic),Fiber optic,No
1,0,0,0,36,0,2,0,2,0,1,0,0,77.12,2711.61,1,Male,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
1,0,1,0,29,0,1,1,1,1,1,0,1,81.64,2416.15,0,Male,Month-to-month,Mailed check,DSL,No
1,0,0,0,4,2,0,1,1,1,1,1,0,68.65,286.54,0,Male,Two year,Electronic check,DSL,No
1,0,0,0,2,2,3,1,1,0,1,1,0,67.94,130.77,1,Male,Two year,Credit card (automatic),DSL,Yes
1,0,1,0,43,1,3,0,1,1,1,1,0,70.94,2941.91,0,Male,One year,Credit card (automatic),DSL,No
0,0,0,0,35,1,1,1,2,0,0,1,1,83.09,3036.94,0,Female,One year,Mailed check,Fiber optic,No
0,0,1,0,9,1,0,1,0,0,0,0,0,20.0,174.66,0,Female,One year,Electronic check,No,No
1,0,0,0,25,2,0,1,2,0,1,0,1,96.17,2289.06,0,Male,Two year,Electronic check,Fiber optic,No
1,0,1,0,3,0,0,0,2,1,1,1,0,103.07,320.6,0,Male,Month-to-month,Electronic check,Fiber optic,No
1,0,1,0,16,1,2,0,2,0,0,1,1,94.47,1478.61,1,Male,One year,Bank transfer (automatic),Fiber optic,Yes
1,0,0,1,1,1,3,1,0,0,0,0,0,20.0,19.6,1,Male,One year,Credit card (automatic),No,Yes
1,0,1,0,11,2,0,1,2,0,0,0,1,81.23,869.13,1,Male,Two year,Electronic check,Fiber optic,Yes
1,0,0,0,1,2,2,1,2,0,0,0,0,69.27,72.16,0,Male,Two year,Bank transfer (automatic),Fiber optic,No
1,0,1,1,15,2,2,0,0,0,0,0,0,23.11,356.16,0,Male,Two year,Bank transfer (automatic),No,No
1,0,0,1,13,1,0,1,1,0,1,0,1,61.71,809.99,0,Male,One year,Electronic check,DSL,No
0,0,0,1,14,0,2,1,2,0,0,0,0,74.15,1033.25,1,Female,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
1,0,0,0,1,0,2,0,1,1,0,1,1,76.45,73.72,0,Male,Month-to-month,Bank transfer (automatic),DSL,No
0,0,0,0,10,1,3,1,1,1,1,0,1,75.5,787.16,0,Female,One year,Credit card (automatic),DSL,No
1,0,1,0,33,1,1,0,2,1,1,0,0,92.64,3133.45,0,Male,One year,Mailed check,Fiber optic,No
1,0,0,0,11,0,2,0,0,0,0,0,0,20.0,215.14,0,Male,Month-to-month,Bank transfer (automatic),No,No
0,0,0,1,30,0,0,1,1,1,0,1,1,83.12,2605.19,0,Female,Month-to-month,Electronic check,DSL,No
1,0,0,0,11,0,0,1,2,1,0,0,0,73.23,840.59,1,Male,Month-to-month,Electronic check,Fiber optic,Yes
0,0,0,0,13,2,0,1,2,0,1,1,0,95.28,1258.4,1,Female,Two year,Electronic check,Fiber optic,Yes
1,0,1,0,19,0,1,0,1,0,1,0,0,53.82,1072.18,0,Male,Month-to-month,Mailed check,DSL,No
1,1,1,0,72,1,0,0,2,0,0,1,1,93.23,6502.62,1,Male,One year,Electronic check,Fiber optic,Yes
0,0,0,0,2,0,0,1,2,0,1,0,1,76.67,156.89,1,Female,Month-to-month,Electronic check,Fiber optic,Yes
1,0,1,1,1,0,2,0,2,1,1,1,0,99.05,95.6,1,Male,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
0,1,1,1,22,2,2,1,2,1,0,0,1,90.95,2039.26,0,Female,Two year,Bank transfer (automatic),Fiber optic,No
1,0,0,1,71,0,0,0,1,0,0,0,1,64.74,4789.53,0,Male,Month-to-month,Electronic check,DSL,No
0,1,1,0,72,0,0,1,2,0,0,1,0,81.82,5912.31,1,Female,Month-to-month,Electronic check,Fiber optic,Yes
0,0,0,0,15,0,2,1,1,1,0,1,0,63.74,981.25,1,Female,Month-to-month,Bank transfer (automatic),DSL,Yes
1,1,1,0,15,0,0,0,2,1,1,1,1,118.17,1709.29,0,Male,Month-to-month,Electronic check,Fiber optic,No
1,0,1,0,24,1,1,1,0,0,0,0,0,20.0,486.39,0,Male,One year,Mailed check,No,No
0,0,0,1,19,0,2,0,1,0,0,0,1,62.16,1129.45,0,Female,Month-to-month,Bank transfer (automatic),DSL,No
1,0,1,0,24,1,0,0,0,0,0,0,0,21.31,487.76,1,Male,One year,Electronic check,No,Yes
1,0,1,1,49,0,0,1,2,1,1,1,1,109.5,5437.43,0,Male,Month-to-month,Electronic check,Fiber optic,No
1,0,0,0,32,2,0,1,1,0,1,0,1,71.69,2310.78,0,Male,Two year,Electronic check,DSL,No
0,0,1,0,16,2,0,0,2,0,1,1,1,107.01,1682.93,0,Female,Two year,Electronic check,Fiber optic,No
0,0,0,0,14,2,3,1,2,1,1,1,1,118.48,1660.86,0,Female,Two year,Credit card (automatic),Fiber optic,No
0,0,1,0,24,2,1,0,1,1,1,1,0,76.09,1859.82,0,Female,Two year,Mailed check,DSL,No
0,0,1,1,14,0,1,0,0,0,0,0,0,23.01,326.8,0,Female,Month-to-month,Mailed check,No,No
0,0,0,0,14,0,2,1,2,1,0,1,0,101.6,1361.75,1,Female,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
0,1,0,1,1,1,0,1,1,0,0,1,0,57.86,58.89,1,Female,One year,Electronic check,DSL,Yes
0,0,1,1,4,0,0,1,1,1,0,0,0,53.01,215.42,0,Female,Month-to-month,Electronic check,DSL,No
0,1,0,0,16,0,3,1,1,1,1,1,1,96.72,1573.77,0,Female,Month-to-month,Credit card (automatic),DSL,No
0,0,0,1,41,0,3,1,1,0,0,0,0,48.34,2050.78,0,Female,Month-to-month,Credit card (automatic),DSL,No
1,0,0,0,7,0,1,1,1,0,1,0,0,52.75,372.08,1,Male,Month-to-month,Mailed check,DSL,Yes
0,0,0,0,17,1,1,0,2,0,0,0,1,90.68,1609.07,0,Female,One year,Mailed check,Fiber optic,No
1,0,0,1,10,0,2,1,1,1,0,1,1,72.98,764.83,0,Male,Month-to-month,Bank transfer (automatic),DSL,No
1,0,0,1,2,0,0,1,2,0,1,0,0,82.65,169.46,1,Male,Month-to-month,Electronic check,Fiber optic,Yes
1,0,0,0,72,1,0,1,1,1,0,0,0,60.73,4310.77,0,Male,One year,Electronic check,DSL,No
0,0,1,0,46,0,0,1,1,1,0,1,1,84.36,3742.06,1,Female,Month-to-month,Electronic check,DSL,Yes
0,1,0,0,1,2,1,0,1,1,0,0,0,50.5,52.12,0,Female,Two year,Mailed check,DSL,No
0,0,0,0,30,0,0,0,2,1,0,1,1,97.8,2830.32,0,Female,Month-to-month,Electronic check,Fiber optic,No
0,0,0,0,10,1,1,1,1,1,1,0,1,78.15,753.85,0,Female,One year,Mailed check,DSL,No
1,0,1,1,72,0,2,0,0,0,0,0,0,23.52,1764.4,0,Male,Month-to-month,Bank transfer (automatic),No,No
0,0,0,0,8,0,1,1,1,1,0,0,0,49.61,399.26,1,Female,Month-to-month,Mailed check,DSL,Yes
0,0,0,0,6,0,0,1,0,0,0,0,0,21.51,126.39,1,Female,Month-to-month,Electronic check,No,Yes
0,0,0,0,20,0,1,1,0,0,0,0,0,20.0,418.52,1,Female,Month-to-month,Mailed check,No,Yes
0,0,1,0,43,2,2,1,1,1,0,0,1,72.3,3173.36,0,Female,Two year,Bank transfer (automatic),DSL,No
0,0,1,0,5,1,0,0,1,0,0,0,1,54.14,271.64,0,Female,One year,Electronic check,DSL,No
1,0,1,0,29,0,0,1,2,1,1,1,1,113.18,3226.25,1,Male,Month-to-month,Electronic check,Fiber optic,Yes
0,0,1,1,1,0,1,1,0,0,0,0,0,24.32,24.75,1,Female,Month-to-month,Mailed check,No,Yes
1,1,1,0,60,0,0,1,2,0,0,1,0,85.86,5270.55,0,Male,Month-to-month,Electronic check,Fiber optic,No
0,0,0,0,2,0,3,0,1,0,0,0,0,47.37,96.75,1,Female,Month-to-month,Credit card (automatic),DSL,Yes
1,0,1,1,58,0,2,0,1,0,0,0,0,50.15,2820.08,0,Male,Month-to-month,Bank transfer (automatic),DSL,No
0,0,0,0,16,2,0,1,2,0,0,0,1,84.05,1371.33,0,Female,Two year,Electronic check,Fiber optic,No
0,1,1,0,14,0,2,0,2,1,0,0,0,87.24,1231.31,1,Female,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
1,0,1,0,72,1,1,0,2,1,1,0,0,81.45,6069.7,0,Male,One year,Mailed check,Fiber optic,No
1,0,0,0,72,1,0,0,2,0,1,1,0,91.7,6684.78,0,Male,One year,Electronic check,Fiber optic,No
1,0,0,0,25,2,0,1,2,0,1,1,1,103.49,2495.73,0,Male,Two year,Electronic check,Fiber optic,No
0,0,0,0,3,0,2,1,2,1,0,1,1,102.91,303.13,1,Female,Month-to-month,Bank transfer (automatic),Fiber optic,Yes
1,0,1,1,16,1,0,1,0,0,0,0,0,22.49,368.61,0,Male,One year,Electronic check,No,No
0,0,1,1,18,2,0,1,0,0,0,0,0,21.07,388.36,0,Female,Two year,Electronic check,No,No
0,0,1,0,17,0,0,0,2,0,1,1,1,108.12,1787.07,0,Female,Month-to-month,Electronic check,Fiber optic,No
1,0,0,0,20,0,0,1,2,1,0,1,1,98.08,1933.08,1,Male,Month-to-month,Electronic check,Fiber optic,Yes
1,0,1,0,1,2,2,0,2,0,0,0,0,81.46,77.51,0,Male,Two year,Bank transfer (automatic),Fiber optic,No
0,0,1,0,29,1,3,1,0,0,0,0,0,20.0,570.24,0,Female,One year,Credit card (automatic),No,No
0,0,1,0,29,0,2,1,2,0,1,1,1,105.43,2912.65,0,Female,Month-to-month,Bank transfer (automatic),Fiber optic,No
1,0,1,0,2,1,2,0,2,1,1,1,1,112.97,234.36,0,Male,One year,Bank transfer (automatic),Fiber optic,No
1,1,0,0,20,0,3,0,2,0,0,1,1,94.41,1919.67,1,Male,Month-to-month,Credit card (automatic),Fiber optic,Yes
1,0,1,1,20,0,0,1,0,0,0,0,0,20.0,418.77,1,Male,Month-to-month,Electronic check,No,Yes
0,0,1,0,27,0,0,0,2,0,1,1,1,105.03,2946.95,1,Female,Month-to-month,Electronic check,Fiber optic,Yes
0,0,1,1,2,0,1,1,2,0,0,1,1,96.9,195.81,1,Female,Month-to-month,Mailed check,Fiber optic,Yes
0,0,0,1,23,1,1,1,2,0,0,1,1,81.99,1886.32,0,Female,One year,Mailed check,Fiber optic,No
0,0,0,0,7,1,1,1,2,0,1,1,0,90.36,656.79,0,Female,One year,Mailed check,Fiber optic,No
0,0,1,1,16,2,0,1,2,0,0,1,0,80.17,1256.86,0,Female,Two year,Electronic check,Fiber optic,No
0,0,1,1,35,0,0,1,1,0,1,1,1,90.61,3083.67,1,Female,Month-to-month,Electronic check,DSL,Yes
1,0,1,0,29,2,1,0,2,1,0,0,1,96.3,2767.57,0,Male,Two year,Mailed check,Fiber optic,No
0,0,0,0,3,0,3,0,2,1,0,0,0,87.5,250.77,1,Female,Month-to-month,Credit card (automatic),Fiber optic,Yes
0,0,0,0,21,0,1,1,0,0,0,0,0,22.79,469.11,0,Female,Month-to-month,Mailed check,No,No
0,0,1,1,72,2,0,1,1,0,1,0,1,67.41,4651.46,0,Female,Two year,Electronic check,DSL,No
1,0,1,0,4,0,2,0,1,0,1,0,1,68.82,262.97,1,Male,Month-to-month,Bank transfer (automatic),DSL,Yes
0,0,0,0,46,0,0,0,2,0,0,0,1,87.61,4050.75,1,Female,Month-to-month,Electronic check,Fiber optic,Yes
0,0,0,0,29,0,0,0,2,0,0,0,0,78.75,2331.29,1,Female,Month-to-month,Electronic check,Fiber optic,Yes
1,0,1,0,35,0,0,1,1,0,0,1,1,70.51,2476.9,0,Male,Month-to-month,Electronic check,DSL,No
0,0,0,0,7,1,2,1,2,0,1,1,1,100.89,675.9,1,Female,One year,Bank transfer (automatic),Fiber optic,Yes
0,0,1,1,8,2,3,1,2,0,1,0,0,84.62,669.85,0,Female,Two year,Credit card (automatic),Fiber optic,No
0,0,0,0,56,1,2,1,2,0,0,1,1,89.73,4829.39,0,Female,One year,Bank transfer (automatic),Fiber optic,No
0,0,1,1,10,2,0,1,2,0,1,1,0,93.95,953.6,1,Female,Two year,Electronic check,Fiber optic,Yes
0,1,1,1,1,1,0,1,2,0,1,1,0,95.41,98.52,1,Female,One year,Electronic check,Fiber optic,Yes
1,0,1,0,22,2,0,0,1,0,0,0,0,44.46,940.63,0,Male,Two year,Electronic check,DSL,No
1,0,0,0,3,0,3,0,2,1,1,1,0,97.48,279.77,0,Male,Month-to-month,Credit card (automatic),Fiber optic,No
1,0,1,1,38,2,2,1,2,0,0,0,1,79.73,3001.25,0,Male,Two year,Bank transfer (automatic),Fiber optic,No
0,0,0,1,24,0,0,0,0,0,0,0,0,20.0,470.57,1,Female,Month-to-month,Electronic check,No,Yes
0,0,0,0,49,2,2,0,2,0,0,1,0,76.73,3669.79,1,Female,Two year,Bank transfer (automatic),Fiber optic,Yes
0,0,1,0,36,0,1,1,0,0,0,0,0,20.0,699.22,0,Female,Month-to-month,Mailed check,No,No
1,1,1,0,2,1,3,1,1,1,1,1,0,69.74,136.93,1,Male,One year,Credit card (automatic),DSL,Yes
0,0,1,1,11,1,3,1,2,0,1,1,1,106.96,1231.31,0,Female,One year,Credit card (automatic),Fiber optic,No
0,0,0,1,35,2,0,0,2,0,0,0,0,71.67,2598.17,0,Female,Two year,Electronic check,Fiber optic,No
1,0,0,0,12,1,2,0,2,1,1,0,1,103.33,1252.53,0,Male,One year,Bank transfer (automatic),Fiber optic,No
0,0,0,1,72,0,1,1,1,1,0,0,0,53.07,3935.85,1,Female,Month-to-month,Mailed check,DSL,Yes
1,0,1,0,31,1,0,1,2,1,1,0,0,88.74,2617.45,0,Male,One year,Electronic check,Fiber optic,No
1,0,1,1,1,0,2,1,2,1,0,0,1,87.86,84.45,0,Male,Month-to-month,Bank transfer (automatic),Fiber optic,No
1,0,1,0,50,0,1,0,1,0,1,1,1,81.53,3991.9,0,Male,Month-to-month,Mailed check,DSL,No
0,0,1,0,2,0,0,0,2,0,1,0,0,73.21,148.53,1,Female,Month-to-month,Electronic check,Fiber optic,Yes
0,0,0,0,3,0,2,1,2,1,1,1,0,102.42,319.04,0,Female,Month-to-month,Bank transfer (automatic),Fiber optic,No
0,0,0,0,31,0,2,0,1,1,0,1,0,63.83,1925.53,0,Female,Month-to-month,Bank transfer (automatic),DSL,No
0,0,0,0,48,2,0,0,1,1,0,0,1,75.79,3506.66,0,Female,Two year,Electronic check,DSL,No
0,0,0,0,18,2,0,0,0,0,0,0,0,22.63,421.51,1,Female,Two year,Electronic check,No,Yes
0,0,0,0,8,0,2,1,2,0,0,0,1,82.0,650.04,0,Female,Month-to-month,Bank transfer (automatic),Fiber optic,No
0,0,1,0,10,0,0,1,0,0,0,0,0,20.0,203.99,1,Female,Month-to-month,Electronic check,No,Yes
1,0,0,0,10,0,3,0,1,0,1,1,1,72.18,725.27,1,Male,Month-to-month,Credit card (automatic),DSL,Yes
0,1,1,1,9,0,0,1,1,0,1,0,0,57.48,500.55,1,Female,Month-to-month,Electronic check,DSL,Yes
1,1,0,1,6,0,0,0,0,0,0,0,0,28.99,177.43,0,Male,Month-to-month,Electronic check,No,No
0,0,1,0,22,0,0,1,1,0,1,1,1,81.04,1768.76,1,Female,Month-to-month,Electronic check,DSL,Yes
0,1,1,0,55,1,1,1,1,1,1,1,1,89.88,4838.48,0,Female,One year,Mailed check,DSL,No
0,0,1,0,8,1,2,1,1,1,1,1,1,89.95,748.58,0,Female,One year,Bank transfer (automatic),DSL,No
1,0,0,1,4,0,1,0,1,0,1,1,0,67.52,256.74,0,Male,Month-to-month,Mailed check,DSL,No
1,0,1,1,43,0,0,1,2,1,1,1,0,103.02,4387.72,0,Male,Month-to-month,Electronic check,Fiber optic,No
1,0,1,0,32,1,3,1,0,0,0,0,0,20.0,627.23,0,Male,One year,Credit card (automatic),No,No
1,0,0,1,64,2,0,1,2,0,1,1,1,99.13,6061.67,0,Male,Two year,Electronic check,Fiber optic,No
0,0,0,1,4,0,0,1,2,0,0,0,0,70.55,270.36,0,Female,Month-to-month,Electronic check,Fiber optic,No
1,0,0,1,3,0,0,1,0,0,0,0,0,27.47,79.71,1,Male,Month-to-month,Electronic check,No,Yes
